po_number,supplier_id,supplier_name,part_number,expected_date,received_date,qty_ordered,qty_received,inbound_lead_time_days,discrepancy_qty
PO10045,SUP-002,Supplier B,CL-7781,2024-08-04,2024-08-08,271,235,4,36
PO10046,SUP-001,Supplier A,AX-4312,2024-04-29,2024-05-06,280,266,7,14
PO10047,SUP-003,Supplier C,BR-2208,2025-10-26,2025-11-06,78,43,11,35
PO10048,SUP-001,Supplier A,ZX-9910,2024-09-10,2024-09-17,236,215,7,21
PO10049,SUP-001,Supplier A,CL-7781,2024-08-13,2024-08-15,219,214,2,5
PO10050,SUP-001,Supplier A,CL-7781,2024-11-14,2024-11-18,335,325,4,10
PO10051,SUP-003,Supplier C,CL-7781,2024-07-01,2024-07-11,397,373,10,24
PO10052,SUP-001,Supplier A,CL-7781,2024-06-14,2024-06-21,239,207,7,32
PO10053,SUP-003,Supplier C,MN-5544,2025-11-21,2025-11-22,332,320,1,12
PO10054,SUP-003,Supplier C,AX-4312,2025-07-03,2025-07-12,308,270,9,38
PO10055,SUP-003,Supplier C,MN-5544,2024-11-16,2024-11-22,186,150,6,36
PO10056,SUP-002,Supplier B,BR-2208,2024-10-23,2024-10-24,356,333,1,23
PO10057,SUP-003,Supplier C,CL-7781,2024-08-22,2024-09-02,209,178,11,31
PO10058,SUP-003,Supplier C,CL-7781,2024-04-03,2024-04-11,282,271,8,11
PO10059,SUP-003,Supplier C,AX-4312,2024-08-27,2024-09-03,162,126,7,36
PO10060,SUP-002,Supplier B,CL-7781,2024-10-21,2024-10-22,130,129,1,1
PO10061,SUP-001,Supplier A,BR-2208,2025-03-07,2025-03-09,269,247,2,22
PO10062,SUP-001,Supplier A,AX-4312,2025-03-27,2025-04-01,273,241,5,32
PO10063,SUP-003,Supplier C,AX-4312,2024-09-13,2024-09-14,175,174,1,1
PO10064,SUP-001,Supplier A,AX-4312,2025-06-18,2025-06-23,221,196,5,25
PO10065,SUP-001,Supplier A,CL-7781,2025-06-07,2025-06-13,296,293,6,3
PO10066,SUP-001,Supplier A,CL-7781,2025-06-29,2025-07-06,252,236,7,16
PO10067,SUP-002,Supplier B,CL-7781,2024-10-09,2024-10-15,329,325,6,4
PO10068,SUP-002,Supplier B,CL-7781,2025-08-13,2025-08-17,147,142,4,5
PO10069,SUP-003,Supplier C,CL-7781,2024-06-07,2024-06-13,289,274,6,15
PO10070,SUP-003,Supplier C,ZX-9910,2025-05-13,2025-05-14,250,245,1,5
PO10071,SUP-003,Supplier C,MN-5544,2024-09-18,2024-09-21,197,162,3,35
PO10072,SUP-003,Supplier C,ZX-9910,2024-08-08,2024-08-11,395,393,3,2
PO10073,SUP-003,Supplier C,AX-4312,2024-03-31,2024-04-03,197,166,3,31
PO10074,SUP-001,Supplier A,AX-4312,2024-09-24,2024-10-01,357,325,7,32
PO10075,SUP-002,Supplier B,CL-7781,2025-08-06,2025-08-14,177,139,8,38
PO10076,SUP-001,Supplier A,BR-2208,2024-06-14,2024-06-16,178,168,2,10
PO10077,SUP-003,Supplier C,AX-4312,2025-07-11,2025-07-20,200,170,9,30
PO10078,SUP-003,Supplier C,MN-5544,2024-09-02,2024-09-12,148,142,10,6
PO10079,SUP-003,Supplier C,MN-5544,2025-02-13,2025-02-23,161,160,10,1
PO10080,SUP-003,Supplier C,AX-4312,2025-11-11,2025-11-12,353,342,1,11
PO10081,SUP-001,Supplier A,CL-7781,2025-03-09,2025-03-14,86,55,5,31
PO10082,SUP-002,Supplier B,CL-7781,2025-08-28,2025-09-08,58,24,11,34
PO10083,SUP-001,Supplier A,MN-5544,2025-09-25,2025-09-28,353,338,3,15
PO10084,SUP-003,Supplier C,MN-5544,2024-07-14,2024-07-17,201,169,3,32
PO10085,SUP-001,Supplier A,BR-2208,2025-12-25,2026-01-02,165,155,8,10
PO10086,SUP-001,Supplier A,MN-5544,2025-03-31,2025-04-01,153,134,1,19
PO10087,SUP-003,Supplier C,MN-5544,2026-01-19,2026-01-22,161,137,3,24
PO10088,SUP-002,Supplier B,BR-2208,2025-08-04,2025-08-07,202,174,3,28
PO10089,SUP-003,Supplier C,MN-5544,2025-12-02,2025-12-04,387,386,2,1
PO10090,SUP-003,Supplier C,BR-2208,2025-09-02,2025-09-08,212,197,6,15
PO10091,SUP-003,Supplier C,CL-7781,2024-10-07,2024-10-16,210,207,9,3
PO10092,SUP-003,Supplier C,BR-2208,2025-05-13,2025-05-14,326,307,1,19
PO10093,SUP-002,Supplier B,MN-5544,2024-09-21,2024-09-29,184,182,8,2
PO10094,SUP-002,Supplier B,CL-7781,2026-02-28,2026-03-01,177,145,1,32
PO10095,SUP-003,Supplier C,ZX-9910,2025-07-03,2025-07-14,71,42,11,29
PO10096,SUP-001,Supplier A,CL-7781,2024-10-13,2024-10-19,279,272,6,7
PO10097,SUP-001,Supplier A,BR-2208,2025-08-21,2025-09-01,76,43,11,33
PO10098,SUP-002,Supplier B,ZX-9910,2024-06-13,2024-06-18,335,303,5,32
PO10099,SUP-001,Supplier A,CL-7781,2025-05-26,2025-05-27,366,348,1,18
PO10100,SUP-003,Supplier C,ZX-9910,2025-03-24,2025-03-28,84,68,4,16
PO10101,SUP-002,Supplier B,ZX-9910,2025-11-12,2025-11-17,55,21,5,34
PO10102,SUP-001,Supplier A,AX-4312,2024-10-10,2024-10-19,86,63,9,23
PO10103,SUP-001,Supplier A,CL-7781,2024-12-12,2024-12-13,351,321,1,30
PO10104,SUP-001,Supplier A,ZX-9910,2024-09-23,2024-09-26,237,205,3,32
PO10105,SUP-003,Supplier C,ZX-9910,2025-10-21,2025-10-25,240,220,4,20
PO10106,SUP-003,Supplier C,ZX-9910,2025-10-09,2025-10-16,210,208,7,2
PO10107,SUP-003,Supplier C,MN-5544,2025-04-08,2025-04-10,330,300,2,30
PO10108,SUP-002,Supplier B,AX-4312,2025-07-06,2025-07-12,107,105,6,2
PO10109,SUP-002,Supplier B,MN-5544,2025-02-23,2025-03-03,223,200,8,23
PO10110,SUP-002,Supplier B,MN-5544,2024-07-29,2024-07-31,337,316,2,21
PO10111,SUP-002,Supplier B,BR-2208,2025-02-24,2025-03-03,176,150,7,26
PO10112,SUP-002,Supplier B,AX-4312,2025-04-23,2025-05-03,322,283,10,39
PO10113,SUP-002,Supplier B,BR-2208,2024-03-12,2024-03-13,348,310,1,38
PO10114,SUP-001,Supplier A,BR-2208,2024-08-07,2024-08-17,296,271,10,25
PO10115,SUP-001,Supplier A,ZX-9910,2025-03-13,2025-03-16,355,331,3,24
PO10116,SUP-001,Supplier A,MN-5544,2025-01-16,2025-01-24,62,56,8,6
PO10117,SUP-001,Supplier A,MN-5544,2025-01-16,2025-01-25,85,66,9,19
PO10118,SUP-001,Supplier A,ZX-9910,2024-06-30,2024-07-01,313,298,1,15
PO10119,SUP-001,Supplier A,MN-5544,2025-11-02,2025-11-05,192,165,3,27
PO10120,SUP-002,Supplier B,ZX-9910,2025-09-11,2025-09-13,371,340,2,31
PO10121,SUP-001,Supplier A,ZX-9910,2025-07-26,2025-08-02,391,367,7,24
PO10122,SUP-003,Supplier C,AX-4312,2024-04-07,2024-04-17,112,91,10,21
PO10123,SUP-001,Supplier A,AX-4312,2024-10-17,2024-10-27,107,86,10,21
PO10124,SUP-002,Supplier B,AX-4312,2026-02-13,2026-02-14,229,224,1,5
PO10125,SUP-003,Supplier C,ZX-9910,2024-05-23,2024-05-29,150,118,6,32
PO10126,SUP-001,Supplier A,MN-5544,2024-11-29,2024-12-07,102,98,8,4
PO10127,SUP-001,Supplier A,CL-7781,2025-08-12,2025-08-19,245,240,7,5
PO10128,SUP-001,Supplier A,ZX-9910,2024-06-19,2024-06-23,399,365,4,34
PO10129,SUP-001,Supplier A,ZX-9910,2024-08-04,2024-08-11,357,342,7,15
PO10130,SUP-003,Supplier C,BR-2208,2025-06-03,2025-06-05,173,144,2,29
PO10131,SUP-001,Supplier A,MN-5544,2024-03-13,2024-03-16,194,176,3,18
PO10132,SUP-001,Supplier A,BR-2208,2025-11-03,2025-11-13,395,359,10,36
PO10133,SUP-002,Supplier B,MN-5544,2025-08-26,2025-09-05,166,144,10,22
PO10134,SUP-001,Supplier A,MN-5544,2024-06-04,2024-06-13,178,178,9,0
PO10135,SUP-003,Supplier C,MN-5544,2024-12-29,2024-12-31,145,121,2,24
PO10136,SUP-003,Supplier C,ZX-9910,2026-01-22,2026-01-30,286,286,8,0
PO10137,SUP-003,Supplier C,AX-4312,2026-02-20,2026-02-27,241,237,7,4
PO10138,SUP-002,Supplier B,AX-4312,2024-11-08,2024-11-14,398,396,6,2
PO10139,SUP-003,Supplier C,AX-4312,2025-07-06,2025-07-16,193,157,10,36
PO10140,SUP-002,Supplier B,ZX-9910,2025-01-28,2025-02-03,234,206,6,28
PO10141,SUP-002,Supplier B,ZX-9910,2024-06-06,2024-06-11,96,67,5,29
PO10142,SUP-003,Supplier C,CL-7781,2024-09-12,2024-09-16,253,238,4,15
PO10143,SUP-001,Supplier A,AX-4312,2024-06-23,2024-07-03,390,352,10,38
PO10144,SUP-001,Supplier A,ZX-9910,2025-03-27,2025-03-31,338,309,4,29
PO10145,SUP-003,Supplier C,ZX-9910,2025-12-20,2025-12-25,72,63,5,9
PO10146,SUP-002,Supplier B,AX-4312,2024-07-09,2024-07-15,374,339,6,35
PO10147,SUP-003,Supplier C,BR-2208,2025-02-25,2025-02-27,229,199,2,30
PO10148,SUP-002,Supplier B,CL-7781,2025-01-10,2025-01-20,299,281,10,18
PO10149,SUP-003,Supplier C,CL-7781,2024-07-24,2024-08-03,145,145,10,0
PO10150,SUP-001,Supplier A,AX-4312,2025-05-10,2025-05-18,374,371,8,3
PO10151,SUP-001,Supplier A,AX-4312,2025-04-22,2025-04-30,385,384,8,1
PO10152,SUP-001,Supplier A,CL-7781,2024-07-20,2024-07-21,209,183,1,26
PO10153,SUP-003,Supplier C,AX-4312,2025-02-27,2025-03-03,201,190,4,11
PO10154,SUP-002,Supplier B,AX-4312,2024-10-02,2024-10-04,212,180,2,32
PO10155,SUP-002,Supplier B,CL-7781,2024-03-28,2024-03-29,228,192,1,36
PO10156,SUP-002,Supplier B,AX-4312,2024-04-10,2024-04-13,114,82,3,32
PO10157,SUP-001,Supplier A,CL-7781,2024-10-05,2024-10-13,379,351,8,28
PO10158,SUP-002,Supplier B,AX-4312,2025-12-26,2025-12-28,302,268,2,34
PO10159,SUP-002,Supplier B,BR-2208,2025-11-26,2025-12-03,386,361,7,25
PO10160,SUP-002,Supplier B,AX-4312,2024-10-26,2024-11-03,142,117,8,25
PO10161,SUP-003,Supplier C,CL-7781,2024-07-16,2024-07-26,139,106,10,33
PO10162,SUP-001,Supplier A,AX-4312,2025-01-09,2025-01-12,154,148,3,6
PO10163,SUP-002,Supplier B,AX-4312,2025-01-22,2025-01-26,363,353,4,10
PO10164,SUP-003,Supplier C,BR-2208,2025-06-03,2025-06-11,266,246,8,20
PO10165,SUP-002,Supplier B,MN-5544,2025-02-04,2025-02-13,213,204,9,9
PO10166,SUP-002,Supplier B,ZX-9910,2024-03-07,2024-03-12,241,207,5,34
PO10167,SUP-002,Supplier B,CL-7781,2025-11-08,2025-11-09,148,113,1,35
PO10168,SUP-001,Supplier A,AX-4312,2024-10-21,2024-10-23,145,122,2,23
PO10169,SUP-003,Supplier C,BR-2208,2025-04-03,2025-04-10,239,208,7,31
PO10170,SUP-001,Supplier A,AX-4312,2024-09-28,2024-10-03,317,305,5,12
PO10171,SUP-003,Supplier C,CL-7781,2026-02-11,2026-02-18,266,232,7,34
PO10172,SUP-003,Supplier C,CL-7781,2024-12-04,2024-12-13,335,319,9,16
PO10173,SUP-003,Supplier C,AX-4312,2024-05-15,2024-05-16,111,92,1,19
PO10174,SUP-001,Supplier A,BR-2208,2026-01-15,2026-01-24,391,379,9,12
PO10175,SUP-001,Supplier A,AX-4312,2025-01-21,2025-02-01,68,33,11,35
PO10176,SUP-001,Supplier A,CL-7781,2024-04-11,2024-04-20,125,117,9,8
PO10177,SUP-001,Supplier A,CL-7781,2024-11-21,2024-11-28,333,320,7,13
PO10178,SUP-003,Supplier C,BR-2208,2025-01-21,2025-01-25,388,373,4,15
PO10179,SUP-003,Supplier C,MN-5544,2025-05-25,2025-05-30,118,84,5,34
PO10180,SUP-002,Supplier B,CL-7781,2025-11-23,2025-12-02,102,80,9,22
PO10181,SUP-001,Supplier A,ZX-9910,2025-01-27,2025-02-05,88,50,9,38
PO10182,SUP-003,Supplier C,ZX-9910,2024-12-19,2024-12-29,182,148,10,34
PO10183,SUP-002,Supplier B,CL-7781,2024-12-20,2024-12-27,270,260,7,10
PO10184,SUP-002,Supplier B,BR-2208,2026-01-23,2026-01-25,288,277,2,11
PO10185,SUP-001,Supplier A,ZX-9910,2024-06-17,2024-06-26,123,107,9,16
PO10186,SUP-002,Supplier B,MN-5544,2024-11-28,2024-12-04,56,44,6,12
PO10187,SUP-002,Supplier B,BR-2208,2024-04-24,2024-05-02,219,211,8,8
PO10188,SUP-002,Supplier B,CL-7781,2024-08-06,2024-08-08,332,331,2,1
PO10189,SUP-003,Supplier C,BR-2208,2025-03-04,2025-03-09,78,42,5,36
PO10190,SUP-002,Supplier B,CL-7781,2024-10-01,2024-10-07,388,381,6,7
PO10191,SUP-002,Supplier B,CL-7781,2024-12-01,2024-12-02,391,375,1,16
PO10192,SUP-001,Supplier A,MN-5544,2025-05-07,2025-05-14,266,263,7,3
PO10193,SUP-002,Supplier B,ZX-9910,2025-04-02,2025-04-06,119,89,4,30
PO10194,SUP-002,Supplier B,AX-4312,2024-11-18,2024-11-21,231,193,3,38
PO10195,SUP-001,Supplier A,CL-7781,2024-09-03,2024-09-14,251,226,11,25
PO10196,SUP-001,Supplier A,MN-5544,2025-03-04,2025-03-07,88,86,3,2
PO10197,SUP-002,Supplier B,ZX-9910,2024-06-15,2024-06-17,269,250,2,19
PO10198,SUP-002,Supplier B,MN-5544,2025-10-31,2025-11-08,366,328,8,38
PO10199,SUP-001,Supplier A,ZX-9910,2024-09-16,2024-09-17,397,373,1,24
PO10200,SUP-003,Supplier C,BR-2208,2024-09-17,2024-09-25,166,161,8,5
PO10201,SUP-002,Supplier B,MN-5544,2024-07-10,2024-07-20,93,62,10,31
PO10202,SUP-001,Supplier A,ZX-9910,2025-11-11,2025-11-16,129,109,5,20
PO10203,SUP-003,Supplier C,ZX-9910,2024-08-25,2024-09-05,301,265,11,36
PO10204,SUP-001,Supplier A,MN-5544,2024-06-11,2024-06-15,276,258,4,18
PO10205,SUP-003,Supplier C,ZX-9910,2024-06-01,2024-06-05,96,83,4,13
PO10206,SUP-003,Supplier C,BR-2208,2025-04-05,2025-04-06,103,101,1,2
PO10207,SUP-003,Supplier C,ZX-9910,2024-06-26,2024-07-03,61,52,7,9
PO10208,SUP-001,Supplier A,BR-2208,2025-04-29,2025-05-07,205,198,8,7
PO10209,SUP-003,Supplier C,BR-2208,2025-08-27,2025-09-06,397,362,10,35
PO10210,SUP-002,Supplier B,AX-4312,2024-10-10,2024-10-20,185,158,10,27
PO10211,SUP-003,Supplier C,AX-4312,2025-08-26,2025-08-31,90,55,5,35
PO10212,SUP-002,Supplier B,CL-7781,2024-05-06,2024-05-17,194,186,11,8
PO10213,SUP-003,Supplier C,CL-7781,2024-09-27,2024-09-28,261,249,1,12
PO10214,SUP-001,Supplier A,AX-4312,2025-03-03,2025-03-06,302,297,3,5
PO10215,SUP-001,Supplier A,ZX-9910,2025-11-25,2025-11-27,305,301,2,4
PO10216,SUP-002,Supplier B,BR-2208,2026-02-28,2026-03-09,59,30,9,29
PO10217,SUP-003,Supplier C,ZX-9910,2025-07-04,2025-07-06,300,296,2,4
PO10218,SUP-003,Supplier C,BR-2208,2024-12-28,2025-01-04,338,338,7,0
PO10219,SUP-003,Supplier C,BR-2208,2024-10-13,2024-10-15,273,263,2,10
PO10220,SUP-001,Supplier A,CL-7781,2024-12-18,2024-12-23,331,307,5,24
PO10221,SUP-003,Supplier C,ZX-9910,2024-09-15,2024-09-21,364,338,6,26
PO10222,SUP-002,Supplier B,ZX-9910,2025-08-30,2025-08-31,147,113,1,34
PO10223,SUP-002,Supplier B,BR-2208,2025-11-18,2025-11-19,360,355,1,5
PO10224,SUP-002,Supplier B,MN-5544,2025-11-13,2025-11-14,246,216,1,30
PO10225,SUP-003,Supplier C,AX-4312,2024-09-10,2024-09-15,308,286,5,22
PO10226,SUP-001,Supplier A,MN-5544,2025-08-22,2025-08-27,102,66,5,36
PO10227,SUP-001,Supplier A,MN-5544,2024-12-12,2024-12-22,132,116,10,16
PO10228,SUP-003,Supplier C,CL-7781,2024-09-19,2024-09-24,127,119,5,8
PO10229,SUP-002,Supplier B,BR-2208,2024-12-09,2024-12-10,100,88,1,12
PO10230,SUP-003,Supplier C,BR-2208,2024-12-30,2025-01-03,337,304,4,33
PO10231,SUP-001,Supplier A,MN-5544,2024-04-28,2024-05-06,88,63,8,25
PO10232,SUP-002,Supplier B,CL-7781,2024-08-30,2024-09-09,211,209,10,2
PO10233,SUP-002,Supplier B,CL-7781,2024-08-08,2024-08-19,355,344,11,11
PO10234,SUP-003,Supplier C,AX-4312,2024-05-15,2024-05-16,103,99,1,4
PO10235,SUP-001,Supplier A,AX-4312,2025-01-24,2025-02-04,362,346,11,16
PO10236,SUP-002,Supplier B,CL-7781,2025-01-03,2025-01-10,256,220,7,36
PO10237,SUP-001,Supplier A,AX-4312,2024-04-10,2024-04-15,115,105,5,10
PO10238,SUP-001,Supplier A,ZX-9910,2025-08-20,2025-08-23,152,115,3,37
PO10239,SUP-001,Supplier A,BR-2208,2025-12-25,2025-12-27,343,310,2,33
PO10240,SUP-001,Supplier A,MN-5544,2024-08-05,2024-08-07,335,321,2,14
PO10241,SUP-001,Supplier A,AX-4312,2025-04-15,2025-04-26,357,320,11,37
PO10242,SUP-002,Supplier B,MN-5544,2024-12-19,2024-12-20,384,355,1,29
PO10243,SUP-003,Supplier C,CL-7781,2024-09-10,2024-09-17,155,139,7,16
PO10244,SUP-001,Supplier A,BR-2208,2025-10-05,2025-10-10,334,331,5,3
PO10245,SUP-001,Supplier A,MN-5544,2025-01-10,2025-01-20,233,217,10,16
PO10246,SUP-001,Supplier A,MN-5544,2026-01-29,2026-02-08,322,303,10,19
PO10247,SUP-002,Supplier B,MN-5544,2024-11-15,2024-11-23,118,85,8,33
PO10248,SUP-003,Supplier C,AX-4312,2025-10-29,2025-11-04,102,101,6,1
PO10249,SUP-002,Supplier B,BR-2208,2025-06-25,2025-07-06,92,82,11,10
PO10250,SUP-003,Supplier C,BR-2208,2024-10-19,2024-10-22,160,138,3,22
PO10251,SUP-003,Supplier C,MN-5544,2024-06-27,2024-07-04,385,355,7,30
PO10252,SUP-001,Supplier A,ZX-9910,2025-10-14,2025-10-25,57,54,11,3
PO10253,SUP-002,Supplier B,BR-2208,2024-07-01,2024-07-09,233,209,8,24
PO10254,SUP-001,Supplier A,MN-5544,2024-08-30,2024-09-02,244,218,3,26
PO10255,SUP-001,Supplier A,AX-4312,2025-02-17,2025-02-19,110,92,2,18
PO10256,SUP-001,Supplier A,BR-2208,2026-02-17,2026-02-22,54,37,5,17
PO10257,SUP-001,Supplier A,BR-2208,2024-08-27,2024-09-06,366,345,10,21
PO10258,SUP-002,Supplier B,BR-2208,2025-01-24,2025-01-29,375,375,5,0
PO10259,SUP-001,Supplier A,BR-2208,2025-06-15,2025-06-20,282,271,5,11
PO10260,SUP-003,Supplier C,MN-5544,2024-09-10,2024-09-20,95,62,10,33
PO10261,SUP-002,Supplier B,BR-2208,2025-10-27,2025-10-28,127,102,1,25
PO10262,SUP-003,Supplier C,ZX-9910,2024-08-30,2024-09-10,122,97,11,25
PO10263,SUP-002,Supplier B,CL-7781,2024-09-28,2024-10-07,96,75,9,21
PO10264,SUP-003,Supplier C,ZX-9910,2024-04-08,2024-04-16,399,383,8,16
PO10265,SUP-001,Supplier A,BR-2208,2025-07-11,2025-07-21,341,341,10,0
PO10266,SUP-002,Supplier B,MN-5544,2024-09-05,2024-09-13,162,128,8,34
PO10267,SUP-002,Supplier B,MN-5544,2024-03-21,2024-03-25,256,235,4,21
PO10268,SUP-003,Supplier C,ZX-9910,2025-06-17,2025-06-27,77,55,10,22
PO10269,SUP-002,Supplier B,ZX-9910,2024-11-14,2024-11-22,203,190,8,13
PO10270,SUP-001,Supplier A,ZX-9910,2025-03-13,2025-03-24,361,355,11,6
PO10271,SUP-001,Supplier A,CL-7781,2025-08-17,2025-08-20,160,138,3,22
PO10272,SUP-002,Supplier B,ZX-9910,2025-05-29,2025-06-09,288,271,11,17
PO10273,SUP-003,Supplier C,ZX-9910,2025-08-26,2025-09-05,343,309,10,34
PO10274,SUP-002,Supplier B,ZX-9910,2024-05-23,2024-05-26,64,40,3,24
PO10275,SUP-002,Supplier B,MN-5544,2024-05-11,2024-05-18,77,68,7,9
PO10276,SUP-002,Supplier B,MN-5544,2025-02-02,2025-02-09,322,284,7,38
PO10277,SUP-002,Supplier B,ZX-9910,2025-03-14,2025-03-20,175,151,6,24
PO10278,SUP-003,Supplier C,CL-7781,2025-08-03,2025-08-04,62,43,1,19
PO10279,SUP-003,Supplier C,AX-4312,2025-08-04,2025-08-13,117,108,9,9
PO10280,SUP-003,Supplier C,ZX-9910,2024-07-28,2024-07-31,282,265,3,17
PO10281,SUP-003,Supplier C,AX-4312,2025-09-02,2025-09-06,160,139,4,21
PO10282,SUP-002,Supplier B,AX-4312,2025-08-24,2025-08-26,160,153,2,7
PO10283,SUP-001,Supplier A,AX-4312,2025-06-06,2025-06-14,285,267,8,18
PO10284,SUP-001,Supplier A,CL-7781,2025-01-29,2025-02-08,150,145,10,5
PO10285,SUP-003,Supplier C,MN-5544,2026-02-01,2026-02-05,331,298,4,33
PO10286,SUP-001,Supplier A,CL-7781,2024-06-02,2024-06-13,364,359,11,5
PO10287,SUP-003,Supplier C,MN-5544,2024-06-18,2024-06-23,338,317,5,21
PO10288,SUP-002,Supplier B,MN-5544,2024-10-02,2024-10-07,247,242,5,5
PO10289,SUP-001,Supplier A,AX-4312,2026-02-18,2026-02-25,161,158,7,3
PO10290,SUP-003,Supplier C,MN-5544,2024-04-13,2024-04-24,367,338,11,29
PO10291,SUP-001,Supplier A,CL-7781,2026-01-29,2026-02-06,360,352,8,8
PO10292,SUP-002,Supplier B,CL-7781,2024-09-18,2024-09-25,292,262,7,30
PO10293,SUP-003,Supplier C,ZX-9910,2026-02-06,2026-02-14,278,243,8,35
PO10294,SUP-001,Supplier A,CL-7781,2026-01-11,2026-01-19,272,267,8,5
PO10295,SUP-002,Supplier B,BR-2208,2025-04-20,2025-04-22,269,259,2,10
PO10296,SUP-001,Supplier A,AX-4312,2024-07-11,2024-07-15,384,379,4,5
PO10297,SUP-002,Supplier B,BR-2208,2025-12-03,2025-12-09,143,106,6,37
PO10298,SUP-003,Supplier C,CL-7781,2025-02-26,2025-03-01,111,110,3,1
PO10299,SUP-003,Supplier C,ZX-9910,2025-07-13,2025-07-24,75,71,11,4
PO10300,SUP-002,Supplier B,ZX-9910,2024-06-05,2024-06-11,167,164,6,3
PO10301,SUP-003,Supplier C,CL-7781,2024-12-18,2024-12-21,261,229,3,32
PO10302,SUP-003,Supplier C,ZX-9910,2025-02-24,2025-02-28,162,151,4,11
PO10303,SUP-002,Supplier B,BR-2208,2025-04-07,2025-04-08,139,126,1,13
PO10304,SUP-001,Supplier A,ZX-9910,2025-04-17,2025-04-23,342,332,6,10
PO10305,SUP-001,Supplier A,MN-5544,2025-10-28,2025-11-01,382,380,4,2
