order_number,customer_id,customer_name,part_number,order_date,promise_date,shipped_date,qty_ordered,qty_shipped,backorder_qty,otif_flag,fill_rate
SO20044,CUST-001,Customer X,AX-4312,2024-12-27,2024-12-30,2025-01-01,26,26,0,0,1.0
SO20045,CUST-003,Customer Z,CL-7781,2025-12-19,2025-12-23,2025-12-22,18,16,2,0,0.8888888888888888
SO20046,CUST-001,Customer X,MN-5544,2025-07-23,2025-07-24,2025-07-24,34,30,4,0,0.8823529411764706
SO20047,CUST-003,Customer Z,CL-7781,2024-12-25,2024-12-29,2024-12-28,36,33,3,0,0.9166666666666666
SO20048,CUST-003,Customer Z,MN-5544,2024-06-18,2024-06-21,2024-06-20,15,12,3,0,0.8
SO20049,CUST-003,Customer Z,BR-2208,2024-03-11,2024-03-15,2024-03-17,31,24,7,0,0.7741935483870968
SO20050,CUST-003,Customer Z,AX-4312,2024-08-21,2024-08-23,2024-08-24,34,30,4,0,0.8823529411764706
SO20051,CUST-001,Customer X,ZX-9910,2024-04-27,2024-05-01,2024-05-03,8,0,8,0,0.0
SO20052,CUST-002,Customer Y,MN-5544,2024-10-26,2024-10-30,2024-11-01,13,4,9,0,0.3076923076923077
SO20053,CUST-003,Customer Z,MN-5544,2025-04-08,2025-04-10,2025-04-10,17,11,6,0,0.6470588235294118
SO20054,CUST-002,Customer Y,AX-4312,2025-04-04,2025-04-08,2025-04-08,23,16,7,0,0.6956521739130435
SO20055,CUST-002,Customer Y,BR-2208,2025-10-21,2025-10-24,2025-10-23,17,8,9,0,0.47058823529411764
SO20056,CUST-003,Customer Z,AX-4312,2024-05-18,2024-05-22,2024-05-21,6,0,6,0,0.0
SO20057,CUST-001,Customer X,BR-2208,2025-04-21,2025-04-23,2025-04-23,17,8,9,0,0.47058823529411764
SO20058,CUST-001,Customer X,MN-5544,2024-11-12,2024-11-13,2024-11-12,18,15,3,0,0.8333333333333334
SO20059,CUST-003,Customer Z,MN-5544,2024-03-20,2024-03-23,2024-03-25,37,37,0,0,1.0
SO20060,CUST-002,Customer Y,ZX-9910,2025-03-07,2025-03-11,2025-03-11,17,16,1,0,0.9411764705882353
SO20061,CUST-003,Customer Z,BR-2208,2025-06-16,2025-06-17,2025-06-19,12,9,3,0,0.75
SO20062,CUST-002,Customer Y,BR-2208,2024-03-09,2024-03-12,2024-03-11,16,13,3,0,0.8125
SO20063,CUST-002,Customer Y,BR-2208,2024-09-07,2024-09-11,2024-09-11,20,16,4,0,0.8
SO20064,CUST-003,Customer Z,CL-7781,2024-09-28,2024-09-29,2024-09-30,37,36,1,0,0.972972972972973
SO20065,CUST-001,Customer X,MN-5544,2024-07-31,2024-08-03,2024-08-05,27,27,0,0,1.0
SO20066,CUST-001,Customer X,MN-5544,2025-05-12,2025-05-13,2025-05-13,19,13,6,0,0.6842105263157895
SO20067,CUST-003,Customer Z,AX-4312,2025-11-25,2025-11-28,2025-11-30,15,7,8,0,0.4666666666666667
SO20068,CUST-001,Customer X,CL-7781,2026-02-21,2026-02-25,2026-02-25,28,20,8,0,0.7142857142857143
SO20069,CUST-003,Customer Z,MN-5544,2024-05-30,2024-06-02,2024-06-02,26,23,3,0,0.8846153846153846
SO20070,CUST-002,Customer Y,CL-7781,2024-08-24,2024-08-25,2024-08-27,29,21,8,0,0.7241379310344828
SO20071,CUST-003,Customer Z,AX-4312,2024-05-25,2024-05-27,2024-05-26,27,23,4,0,0.8518518518518519
SO20072,CUST-002,Customer Y,AX-4312,2024-05-31,2024-06-03,2024-06-02,29,22,7,0,0.7586206896551724
SO20073,CUST-003,Customer Z,CL-7781,2024-03-07,2024-03-11,2024-03-11,19,19,0,1,1.0
SO20074,CUST-001,Customer X,BR-2208,2024-07-11,2024-07-13,2024-07-14,18,15,3,0,0.8333333333333334
SO20075,CUST-003,Customer Z,MN-5544,2024-04-23,2024-04-25,2024-04-26,22,20,2,0,0.9090909090909091
SO20076,CUST-001,Customer X,ZX-9910,2025-07-28,2025-07-30,2025-07-29,5,0,5,0,0.0
SO20077,CUST-003,Customer Z,ZX-9910,2024-11-21,2024-11-24,2024-11-25,9,3,6,0,0.3333333333333333
SO20078,CUST-003,Customer Z,CL-7781,2024-09-18,2024-09-21,2024-09-20,33,31,2,0,0.9393939393939394
SO20079,CUST-002,Customer Y,AX-4312,2024-05-27,2024-05-30,2024-05-29,16,13,3,0,0.8125
SO20080,CUST-002,Customer Y,BR-2208,2024-11-05,2024-11-06,2024-11-07,13,4,9,0,0.3076923076923077
SO20081,CUST-001,Customer X,BR-2208,2024-03-21,2024-03-22,2024-03-23,30,29,1,0,0.9666666666666667
SO20082,CUST-003,Customer Z,ZX-9910,2024-12-23,2024-12-26,2024-12-27,25,17,8,0,0.68
SO20083,CUST-003,Customer Z,BR-2208,2024-07-08,2024-07-09,2024-07-11,31,29,2,0,0.9354838709677419
SO20084,CUST-003,Customer Z,AX-4312,2024-12-10,2024-12-14,2024-12-16,21,16,5,0,0.7619047619047619
SO20085,CUST-001,Customer X,ZX-9910,2025-08-09,2025-08-13,2025-08-12,22,20,2,0,0.9090909090909091
SO20086,CUST-001,Customer X,MN-5544,2025-01-06,2025-01-07,2025-01-06,19,16,3,0,0.8421052631578947
SO20087,CUST-002,Customer Y,CL-7781,2024-07-14,2024-07-15,2024-07-17,14,11,3,0,0.7857142857142857
SO20088,CUST-002,Customer Y,AX-4312,2026-01-10,2026-01-14,2026-01-14,15,14,1,0,0.9333333333333333
SO20089,CUST-003,Customer Z,ZX-9910,2024-05-04,2024-05-06,2024-05-08,24,16,8,0,0.6666666666666666
SO20090,CUST-002,Customer Y,MN-5544,2024-06-19,2024-06-23,2024-06-22,29,21,8,0,0.7241379310344828
SO20091,CUST-001,Customer X,MN-5544,2026-02-10,2026-02-12,2026-02-12,29,27,2,0,0.9310344827586207
SO20092,CUST-002,Customer Y,BR-2208,2026-02-08,2026-02-12,2026-02-14,18,18,0,0,1.0
SO20093,CUST-001,Customer X,ZX-9910,2024-06-10,2024-06-11,2024-06-10,12,8,4,0,0.6666666666666666
SO20094,CUST-001,Customer X,CL-7781,2024-07-28,2024-07-29,2024-07-28,39,37,2,0,0.9487179487179487
SO20095,CUST-003,Customer Z,BR-2208,2025-08-03,2025-08-06,2025-08-05,34,33,1,0,0.9705882352941176
SO20096,CUST-001,Customer X,CL-7781,2024-04-16,2024-04-20,2024-04-19,6,6,0,1,1.0
SO20097,CUST-003,Customer Z,AX-4312,2024-07-03,2024-07-05,2024-07-05,29,20,9,0,0.6896551724137931
SO20098,CUST-001,Customer X,MN-5544,2024-06-06,2024-06-09,2024-06-11,20,13,7,0,0.65
SO20099,CUST-001,Customer X,MN-5544,2026-01-12,2026-01-15,2026-01-16,19,17,2,0,0.8947368421052632
SO20100,CUST-001,Customer X,ZX-9910,2024-11-25,2024-11-29,2024-11-29,6,0,6,0,0.0
SO20101,CUST-001,Customer X,BR-2208,2024-05-02,2024-05-05,2024-05-06,12,6,6,0,0.5
SO20102,CUST-002,Customer Y,ZX-9910,2024-05-29,2024-06-02,2024-06-02,33,33,0,1,1.0
SO20103,CUST-003,Customer Z,CL-7781,2025-02-19,2025-02-23,2025-02-25,36,36,0,0,1.0
SO20104,CUST-002,Customer Y,MN-5544,2024-10-07,2024-10-08,2024-10-08,21,15,6,0,0.7142857142857143
SO20105,CUST-001,Customer X,ZX-9910,2025-11-03,2025-11-06,2025-11-08,36,33,3,0,0.9166666666666666
SO20106,CUST-002,Customer Y,CL-7781,2025-11-01,2025-11-04,2025-11-03,6,4,2,0,0.6666666666666666
SO20107,CUST-002,Customer Y,MN-5544,2024-12-12,2024-12-16,2024-12-15,28,23,5,0,0.8214285714285714
SO20108,CUST-003,Customer Z,CL-7781,2024-12-08,2024-12-11,2024-12-11,31,23,8,0,0.7419354838709677
SO20109,CUST-002,Customer Y,BR-2208,2024-06-25,2024-06-29,2024-07-01,32,32,0,0,1.0
SO20110,CUST-003,Customer Z,BR-2208,2024-08-23,2024-08-24,2024-08-25,14,10,4,0,0.7142857142857143
SO20111,CUST-001,Customer X,CL-7781,2025-10-16,2025-10-18,2025-10-17,22,17,5,0,0.7727272727272727
SO20112,CUST-001,Customer X,ZX-9910,2025-09-04,2025-09-07,2025-09-06,10,3,7,0,0.3
SO20113,CUST-003,Customer Z,AX-4312,2024-06-15,2024-06-19,2024-06-18,18,12,6,0,0.6666666666666666
SO20114,CUST-001,Customer X,ZX-9910,2026-02-12,2026-02-14,2026-02-14,24,18,6,0,0.75
SO20115,CUST-003,Customer Z,CL-7781,2024-10-03,2024-10-05,2024-10-04,14,5,9,0,0.35714285714285715
SO20116,CUST-002,Customer Y,BR-2208,2025-04-26,2025-04-30,2025-04-29,32,28,4,0,0.875
SO20117,CUST-003,Customer Z,CL-7781,2024-05-02,2024-05-05,2024-05-06,19,15,4,0,0.7894736842105263
SO20118,CUST-003,Customer Z,BR-2208,2024-07-16,2024-07-20,2024-07-19,16,13,3,0,0.8125
SO20119,CUST-003,Customer Z,ZX-9910,2026-02-27,2026-03-02,2026-03-01,32,26,6,0,0.8125
SO20120,CUST-003,Customer Z,AX-4312,2024-11-01,2024-11-04,2024-11-03,26,19,7,0,0.7307692307692307
SO20121,CUST-002,Customer Y,ZX-9910,2024-04-21,2024-04-24,2024-04-24,30,30,0,1,1.0
SO20122,CUST-003,Customer Z,BR-2208,2024-06-26,2024-06-30,2024-06-30,22,16,6,0,0.7272727272727273
SO20123,CUST-001,Customer X,ZX-9910,2024-06-10,2024-06-12,2024-06-12,12,7,5,0,0.5833333333333334
SO20124,CUST-001,Customer X,BR-2208,2026-02-07,2026-02-09,2026-02-10,27,22,5,0,0.8148148148148148
SO20125,CUST-002,Customer Y,BR-2208,2025-07-15,2025-07-17,2025-07-18,13,7,6,0,0.5384615384615384
SO20126,CUST-001,Customer X,MN-5544,2024-09-08,2024-09-09,2024-09-08,7,5,2,0,0.7142857142857143
SO20127,CUST-001,Customer X,ZX-9910,2026-02-26,2026-02-27,2026-02-26,35,32,3,0,0.9142857142857143
SO20128,CUST-002,Customer Y,ZX-9910,2024-03-30,2024-04-01,2024-04-03,39,32,7,0,0.8205128205128205
SO20129,CUST-001,Customer X,MN-5544,2025-02-14,2025-02-18,2025-02-18,25,25,0,1,1.0
SO20130,CUST-003,Customer Z,MN-5544,2026-01-19,2026-01-23,2026-01-25,23,23,0,0,1.0
SO20131,CUST-001,Customer X,CL-7781,2025-12-31,2026-01-04,2026-01-05,25,20,5,0,0.8
SO20132,CUST-001,Customer X,CL-7781,2025-12-03,2025-12-05,2025-12-07,19,17,2,0,0.8947368421052632
SO20133,CUST-003,Customer Z,MN-5544,2026-01-01,2026-01-04,2026-01-04,19,14,5,0,0.7368421052631579
SO20134,CUST-001,Customer X,MN-5544,2025-01-18,2025-01-22,2025-01-21,24,23,1,0,0.9583333333333334
SO20135,CUST-001,Customer X,AX-4312,2025-12-07,2025-12-09,2025-12-09,22,16,6,0,0.7272727272727273
SO20136,CUST-002,Customer Y,MN-5544,2025-04-12,2025-04-15,2025-04-14,36,32,4,0,0.8888888888888888
SO20137,CUST-001,Customer X,MN-5544,2025-07-17,2025-07-21,2025-07-22,10,1,9,0,0.1
SO20138,CUST-001,Customer X,CL-7781,2025-08-18,2025-08-22,2025-08-21,17,15,2,0,0.8823529411764706
SO20139,CUST-002,Customer Y,CL-7781,2025-05-14,2025-05-17,2025-05-16,31,22,9,0,0.7096774193548387
SO20140,CUST-001,Customer X,BR-2208,2025-07-29,2025-08-01,2025-08-03,30,23,7,0,0.7666666666666667
SO20141,CUST-003,Customer Z,AX-4312,2024-09-19,2024-09-21,2024-09-23,33,33,0,0,1.0
SO20142,CUST-003,Customer Z,BR-2208,2026-01-17,2026-01-21,2026-01-23,33,30,3,0,0.9090909090909091
SO20143,CUST-003,Customer Z,MN-5544,2025-07-09,2025-07-11,2025-07-10,35,33,2,0,0.9428571428571428
SO20144,CUST-003,Customer Z,BR-2208,2024-12-21,2024-12-24,2024-12-24,29,29,0,1,1.0
SO20145,CUST-003,Customer Z,BR-2208,2026-01-15,2026-01-17,2026-01-17,12,10,2,0,0.8333333333333334
SO20146,CUST-002,Customer Y,CL-7781,2024-03-07,2024-03-10,2024-03-09,22,17,5,0,0.7727272727272727
SO20147,CUST-001,Customer X,ZX-9910,2025-04-09,2025-04-10,2025-04-09,7,1,6,0,0.14285714285714285
SO20148,CUST-002,Customer Y,CL-7781,2024-12-20,2024-12-24,2024-12-23,19,12,7,0,0.631578947368421
SO20149,CUST-002,Customer Y,CL-7781,2024-04-04,2024-04-06,2024-04-06,23,16,7,0,0.6956521739130435
SO20150,CUST-001,Customer X,MN-5544,2025-02-10,2025-02-13,2025-02-13,14,9,5,0,0.6428571428571429
SO20151,CUST-003,Customer Z,BR-2208,2025-10-12,2025-10-14,2025-10-13,23,19,4,0,0.8260869565217391
SO20152,CUST-003,Customer Z,BR-2208,2024-11-16,2024-11-19,2024-11-20,11,9,2,0,0.8181818181818182
SO20153,CUST-002,Customer Y,BR-2208,2024-07-02,2024-07-05,2024-07-07,28,27,1,0,0.9642857142857143
SO20154,CUST-003,Customer Z,ZX-9910,2024-07-31,2024-08-01,2024-08-02,10,5,5,0,0.5
SO20155,CUST-003,Customer Z,ZX-9910,2026-01-29,2026-01-30,2026-02-01,31,27,4,0,0.8709677419354839
SO20156,CUST-002,Customer Y,BR-2208,2025-03-02,2025-03-03,2025-03-02,11,3,8,0,0.2727272727272727
SO20157,CUST-003,Customer Z,AX-4312,2026-02-10,2026-02-13,2026-02-13,17,8,9,0,0.47058823529411764
SO20158,CUST-002,Customer Y,AX-4312,2024-11-09,2024-11-11,2024-11-13,28,20,8,0,0.7142857142857143
SO20159,CUST-002,Customer Y,AX-4312,2025-03-12,2025-03-14,2025-03-16,22,22,0,0,1.0
SO20160,CUST-003,Customer Z,ZX-9910,2024-11-15,2024-11-16,2024-11-17,14,6,8,0,0.42857142857142855
SO20161,CUST-002,Customer Y,BR-2208,2024-03-15,2024-03-18,2024-03-19,32,24,8,0,0.75
SO20162,CUST-001,Customer X,MN-5544,2025-06-17,2025-06-20,2025-06-20,18,9,9,0,0.5
SO20163,CUST-001,Customer X,ZX-9910,2024-10-02,2024-10-03,2024-10-04,6,0,6,0,0.0
SO20164,CUST-002,Customer Y,MN-5544,2025-01-29,2025-01-31,2025-02-02,11,8,3,0,0.7272727272727273
SO20165,CUST-002,Customer Y,MN-5544,2025-05-30,2025-06-01,2025-06-03,31,27,4,0,0.8709677419354839
SO20166,CUST-002,Customer Y,ZX-9910,2025-06-20,2025-06-22,2025-06-22,31,25,6,0,0.8064516129032258
SO20167,CUST-001,Customer X,MN-5544,2025-04-27,2025-04-30,2025-05-01,30,30,0,0,1.0
SO20168,CUST-001,Customer X,BR-2208,2025-07-22,2025-07-26,2025-07-28,33,25,8,0,0.7575757575757576
SO20169,CUST-003,Customer Z,CL-7781,2024-06-03,2024-06-04,2024-06-05,26,17,9,0,0.6538461538461539
SO20170,CUST-003,Customer Z,ZX-9910,2025-02-14,2025-02-17,2025-02-17,21,18,3,0,0.8571428571428571
SO20171,CUST-002,Customer Y,MN-5544,2025-10-17,2025-10-21,2025-10-22,30,26,4,0,0.8666666666666667
SO20172,CUST-002,Customer Y,MN-5544,2025-11-01,2025-11-02,2025-11-01,15,10,5,0,0.6666666666666666
SO20173,CUST-002,Customer Y,CL-7781,2026-02-10,2026-02-11,2026-02-11,10,5,5,0,0.5
SO20174,CUST-001,Customer X,AX-4312,2025-04-01,2025-04-05,2025-04-06,26,22,4,0,0.8461538461538461
SO20175,CUST-002,Customer Y,BR-2208,2024-11-02,2024-11-05,2024-11-06,18,9,9,0,0.5
SO20176,CUST-001,Customer X,BR-2208,2025-03-06,2025-03-07,2025-03-07,36,35,1,0,0.9722222222222222
SO20177,CUST-002,Customer Y,ZX-9910,2024-08-16,2024-08-20,2024-08-21,14,13,1,0,0.9285714285714286
SO20178,CUST-002,Customer Y,AX-4312,2025-02-17,2025-02-18,2025-02-18,25,25,0,1,1.0
SO20179,CUST-003,Customer Z,ZX-9910,2024-05-20,2024-05-21,2024-05-22,37,32,5,0,0.8648648648648649
SO20180,CUST-001,Customer X,CL-7781,2025-04-25,2025-04-26,2025-04-26,17,17,0,1,1.0
SO20181,CUST-002,Customer Y,AX-4312,2025-05-09,2025-05-10,2025-05-11,34,26,8,0,0.7647058823529411
SO20182,CUST-002,Customer Y,CL-7781,2025-05-24,2025-05-25,2025-05-27,12,12,0,0,1.0
SO20183,CUST-001,Customer X,BR-2208,2024-10-01,2024-10-04,2024-10-06,5,1,4,0,0.2
SO20184,CUST-001,Customer X,BR-2208,2024-08-25,2024-08-29,2024-08-31,10,2,8,0,0.2
SO20185,CUST-002,Customer Y,ZX-9910,2024-09-26,2024-09-27,2024-09-26,5,0,5,0,0.0
SO20186,CUST-002,Customer Y,MN-5544,2025-06-28,2025-06-30,2025-07-01,23,22,1,0,0.9565217391304348
SO20187,CUST-001,Customer X,AX-4312,2024-08-29,2024-08-31,2024-08-30,21,18,3,0,0.8571428571428571
SO20188,CUST-003,Customer Z,BR-2208,2025-07-09,2025-07-10,2025-07-09,16,13,3,0,0.8125
SO20189,CUST-001,Customer X,AX-4312,2025-04-07,2025-04-09,2025-04-10,8,8,0,0,1.0
SO20190,CUST-001,Customer X,MN-5544,2024-07-24,2024-07-26,2024-07-25,19,19,0,1,1.0
SO20191,CUST-003,Customer Z,MN-5544,2024-09-02,2024-09-06,2024-09-07,24,19,5,0,0.7916666666666666
SO20192,CUST-003,Customer Z,CL-7781,2024-07-06,2024-07-10,2024-07-09,20,19,1,0,0.95
SO20193,CUST-001,Customer X,ZX-9910,2025-10-26,2025-10-27,2025-10-29,28,20,8,0,0.7142857142857143
SO20194,CUST-003,Customer Z,AX-4312,2024-05-22,2024-05-24,2024-05-26,21,13,8,0,0.6190476190476191
SO20195,CUST-001,Customer X,BR-2208,2024-04-22,2024-04-26,2024-04-25,19,17,2,0,0.8947368421052632
SO20196,CUST-001,Customer X,AX-4312,2026-01-06,2026-01-09,2026-01-09,14,5,9,0,0.35714285714285715
SO20197,CUST-003,Customer Z,ZX-9910,2025-02-04,2025-02-07,2025-02-08,16,8,8,0,0.5
SO20198,CUST-001,Customer X,BR-2208,2025-10-23,2025-10-26,2025-10-25,39,35,4,0,0.8974358974358975
SO20199,CUST-001,Customer X,AX-4312,2025-07-10,2025-07-11,2025-07-11,25,16,9,0,0.64
SO20200,CUST-003,Customer Z,ZX-9910,2024-04-17,2024-04-21,2024-04-22,8,5,3,0,0.625
SO20201,CUST-003,Customer Z,BR-2208,2025-11-06,2025-11-09,2025-11-08,35,32,3,0,0.9142857142857143
SO20202,CUST-003,Customer Z,ZX-9910,2024-08-29,2024-09-02,2024-09-02,21,19,2,0,0.9047619047619048
SO20203,CUST-001,Customer X,ZX-9910,2025-07-14,2025-07-15,2025-07-15,26,22,4,0,0.8461538461538461
SO20204,CUST-002,Customer Y,CL-7781,2025-04-16,2025-04-19,2025-04-21,31,27,4,0,0.8709677419354839
SO20205,CUST-002,Customer Y,AX-4312,2024-05-01,2024-05-03,2024-05-02,39,36,3,0,0.9230769230769231
SO20206,CUST-002,Customer Y,MN-5544,2024-04-14,2024-04-18,2024-04-20,25,16,9,0,0.64
SO20207,CUST-001,Customer X,MN-5544,2025-06-13,2025-06-14,2025-06-16,23,14,9,0,0.6086956521739131
SO20208,CUST-001,Customer X,AX-4312,2024-06-14,2024-06-15,2024-06-14,30,25,5,0,0.8333333333333334
SO20209,CUST-001,Customer X,BR-2208,2024-04-17,2024-04-20,2024-04-20,32,32,0,1,1.0
SO20210,CUST-003,Customer Z,MN-5544,2025-01-23,2025-01-27,2025-01-29,6,6,0,0,1.0
SO20211,CUST-003,Customer Z,MN-5544,2025-04-15,2025-04-19,2025-04-19,25,17,8,0,0.68
SO20212,CUST-003,Customer Z,ZX-9910,2025-12-03,2025-12-04,2025-12-05,20,19,1,0,0.95
SO20213,CUST-002,Customer Y,AX-4312,2024-11-05,2024-11-07,2024-11-09,12,3,9,0,0.25
SO20214,CUST-003,Customer Z,ZX-9910,2024-06-13,2024-06-14,2024-06-13,21,15,6,0,0.7142857142857143
SO20215,CUST-002,Customer Y,AX-4312,2024-03-27,2024-03-31,2024-04-01,34,31,3,0,0.9117647058823529
SO20216,CUST-003,Customer Z,BR-2208,2025-03-13,2025-03-14,2025-03-15,11,3,8,0,0.2727272727272727
SO20217,CUST-001,Customer X,CL-7781,2024-12-10,2024-12-13,2024-12-12,26,25,1,0,0.9615384615384616
SO20218,CUST-003,Customer Z,CL-7781,2024-09-06,2024-09-07,2024-09-08,6,5,1,0,0.8333333333333334
SO20219,CUST-001,Customer X,BR-2208,2025-02-27,2025-03-01,2025-03-02,35,35,0,0,1.0
SO20220,CUST-001,Customer X,AX-4312,2025-03-29,2025-03-31,2025-04-02,15,15,0,0,1.0
SO20221,CUST-001,Customer X,BR-2208,2026-02-26,2026-02-28,2026-03-02,11,7,4,0,0.6363636363636364
SO20222,CUST-002,Customer Y,CL-7781,2025-01-22,2025-01-25,2025-01-27,23,23,0,0,1.0
SO20223,CUST-002,Customer Y,BR-2208,2024-05-21,2024-05-24,2024-05-24,10,10,0,1,1.0
SO20224,CUST-001,Customer X,CL-7781,2024-05-20,2024-05-21,2024-05-21,21,15,6,0,0.7142857142857143
SO20225,CUST-002,Customer Y,BR-2208,2024-10-23,2024-10-25,2024-10-25,9,6,3,0,0.6666666666666666
SO20226,CUST-003,Customer Z,CL-7781,2025-04-16,2025-04-19,2025-04-21,7,0,7,0,0.0
SO20227,CUST-002,Customer Y,MN-5544,2024-06-05,2024-06-09,2024-06-10,21,15,6,0,0.7142857142857143
SO20228,CUST-003,Customer Z,AX-4312,2025-06-17,2025-06-19,2025-06-21,16,16,0,0,1.0
SO20229,CUST-002,Customer Y,BR-2208,2025-09-19,2025-09-20,2025-09-21,25,22,3,0,0.88
SO20230,CUST-003,Customer Z,CL-7781,2025-01-15,2025-01-17,2025-01-18,7,7,0,0,1.0
SO20231,CUST-003,Customer Z,AX-4312,2025-12-28,2026-01-01,2026-01-03,14,7,7,0,0.5
SO20232,CUST-003,Customer Z,AX-4312,2025-09-15,2025-09-18,2025-09-17,8,0,8,0,0.0
SO20233,CUST-002,Customer Y,BR-2208,2025-10-21,2025-10-25,2025-10-24,8,8,0,1,1.0
