snapshot_date,warehouse_id,warehouse_name,location,part_number,sku_family,on_hand_qty,available_qty,safety_stock,reorder_point,days_of_supply,stockout_flag,age_days
2024-05-18,WH-01,Warehouse WH-01,A3-01,AX-4312,AX,66,0,162,296,33,0,275
2026-02-03,WH-03,Warehouse WH-03,A1-04,CL-7781,CL,419,350,94,239,24,0,75
2025-12-06,WH-02,Warehouse WH-02,A1-03,BR-2208,BR,534,502,120,175,29,0,98
2025-01-13,WH-01,Warehouse WH-01,A5-04,ZX-9910,ZX,435,396,144,161,68,1,10
2024-12-20,WH-01,Warehouse WH-01,A4-01,BR-2208,BR,264,196,140,258,68,1,103
2025-07-14,WH-02,Warehouse WH-02,A2-01,AX-4312,AX,224,217,128,271,33,0,275
2026-01-05,WH-01,Warehouse WH-01,A1-05,AX-4312,AX,310,300,178,136,42,0,86
2024-10-26,WH-02,Warehouse WH-02,A1-03,BR-2208,BR,290,206,168,222,66,0,135
2024-06-21,WH-03,Warehouse WH-03,A1-01,MN-5544,MN,403,361,198,253,55,1,243
2026-02-17,WH-03,Warehouse WH-03,A2-02,MN-5544,MN,251,231,130,293,35,1,264
2024-12-13,WH-03,Warehouse WH-03,A2-05,MN-5544,MN,67,52,146,121,1,1,1
2024-06-08,WH-02,Warehouse WH-02,A1-01,AX-4312,AX,357,351,167,211,18,1,160
2025-05-26,WH-01,Warehouse WH-01,A4-01,ZX-9910,ZX,172,140,153,192,49,0,196
2025-02-22,WH-02,Warehouse WH-02,A2-04,ZX-9910,ZX,598,546,175,163,80,1,138
2024-09-21,WH-01,Warehouse WH-01,A3-04,ZX-9910,ZX,358,323,113,207,18,1,233
2024-07-15,WH-01,Warehouse WH-01,A2-01,CL-7781,CL,420,380,104,245,8,1,350
2025-07-27,WH-02,Warehouse WH-02,A5-04,BR-2208,BR,509,492,147,295,70,0,18
2025-12-03,WH-02,Warehouse WH-02,A1-05,MN-5544,MN,55,33,114,253,26,1,213
2025-08-21,WH-01,Warehouse WH-01,A2-02,MN-5544,MN,572,485,94,210,32,1,133
2024-06-15,WH-02,Warehouse WH-02,A4-02,MN-5544,MN,575,505,165,274,79,0,301
2024-10-24,WH-01,Warehouse WH-01,A3-03,ZX-9910,ZX,546,521,102,260,3,0,320
2024-07-15,WH-02,Warehouse WH-02,A1-01,ZX-9910,ZX,155,69,115,232,6,0,209
2024-08-18,WH-03,Warehouse WH-03,A3-05,BR-2208,BR,597,569,139,173,69,1,265
2024-07-12,WH-03,Warehouse WH-03,A5-04,CL-7781,CL,381,297,156,129,75,1,58
2025-02-17,WH-01,Warehouse WH-01,A2-04,ZX-9910,ZX,493,399,192,299,34,1,35
2025-04-10,WH-01,Warehouse WH-01,A2-04,ZX-9910,ZX,102,70,151,279,55,0,136
2025-01-04,WH-02,Warehouse WH-02,A3-04,AX-4312,AX,397,300,87,225,71,0,54
2025-01-23,WH-02,Warehouse WH-02,A1-02,MN-5544,MN,276,181,154,133,75,1,189
2025-07-02,WH-03,Warehouse WH-03,A3-02,MN-5544,MN,363,347,157,167,8,1,17
2025-04-07,WH-01,Warehouse WH-01,A5-02,BR-2208,BR,11,0,97,145,37,1,169
2024-03-06,WH-01,Warehouse WH-01,A5-04,AX-4312,AX,169,80,194,160,47,1,273
2025-06-18,WH-03,Warehouse WH-03,A2-02,ZX-9910,ZX,52,22,141,255,30,0,336
2025-10-28,WH-03,Warehouse WH-03,A5-01,CL-7781,CL,556,539,178,292,19,0,324
2024-12-10,WH-01,Warehouse WH-01,A3-03,AX-4312,AX,594,545,104,285,36,1,56
2024-06-19,WH-03,Warehouse WH-03,A3-05,CL-7781,CL,550,488,86,241,58,1,315
2024-12-26,WH-02,Warehouse WH-02,A5-05,MN-5544,MN,303,299,190,155,88,0,220
2025-10-08,WH-03,Warehouse WH-03,A1-01,BR-2208,BR,274,268,187,185,80,0,255
2025-01-30,WH-03,Warehouse WH-03,A1-04,BR-2208,BR,124,107,182,248,63,0,277
2025-05-27,WH-01,Warehouse WH-01,A2-03,ZX-9910,ZX,381,352,90,141,57,0,158
2025-01-11,WH-01,Warehouse WH-01,A3-05,MN-5544,MN,547,461,197,191,64,1,68
2024-04-30,WH-02,Warehouse WH-02,A1-02,CL-7781,CL,433,403,108,283,77,0,73
2025-03-26,WH-02,Warehouse WH-02,A4-01,AX-4312,AX,118,34,194,208,89,1,221
2025-06-14,WH-01,Warehouse WH-01,A2-04,MN-5544,MN,240,215,132,261,64,1,31
2024-05-13,WH-02,Warehouse WH-02,A3-03,ZX-9910,ZX,222,187,89,145,20,0,44
2025-10-05,WH-03,Warehouse WH-03,A3-03,AX-4312,AX,61,0,158,128,71,1,24
2025-09-08,WH-03,Warehouse WH-03,A5-05,MN-5544,MN,139,80,163,239,78,1,16
2025-10-26,WH-01,Warehouse WH-01,A1-02,AX-4312,AX,540,509,162,238,35,0,352
2024-07-06,WH-03,Warehouse WH-03,A1-02,MN-5544,MN,52,33,194,127,42,0,233
2024-03-23,WH-03,Warehouse WH-03,A1-02,MN-5544,MN,69,54,148,172,45,0,262
2025-02-04,WH-02,Warehouse WH-02,A2-05,ZX-9910,ZX,378,346,158,134,14,0,63
2025-01-07,WH-01,Warehouse WH-01,A4-01,ZX-9910,ZX,260,171,191,226,52,1,355
2025-01-28,WH-03,Warehouse WH-03,A4-02,CL-7781,CL,308,222,156,212,53,1,354
2024-05-27,WH-01,Warehouse WH-01,A2-03,BR-2208,BR,353,263,94,178,50,0,282
2025-06-26,WH-01,Warehouse WH-01,A1-05,BR-2208,BR,258,159,126,124,62,1,84
2024-11-23,WH-02,Warehouse WH-02,A4-03,MN-5544,MN,393,314,142,144,44,0,270
2024-12-30,WH-02,Warehouse WH-02,A3-05,CL-7781,CL,155,62,98,221,42,1,214
2025-07-13,WH-03,Warehouse WH-03,A4-04,ZX-9910,ZX,78,68,133,217,24,1,273
2025-11-21,WH-03,Warehouse WH-03,A5-01,MN-5544,MN,155,106,174,129,21,1,162
2025-05-21,WH-03,Warehouse WH-03,A5-05,ZX-9910,ZX,476,434,90,152,58,1,129
2025-08-27,WH-01,Warehouse WH-01,A4-01,CL-7781,CL,447,361,152,120,21,1,4
2026-01-27,WH-02,Warehouse WH-02,A1-03,MN-5544,MN,576,526,153,182,15,1,292
2025-12-22,WH-01,Warehouse WH-01,A3-01,MN-5544,MN,179,134,148,276,47,0,153
2026-02-01,WH-03,Warehouse WH-03,A3-03,BR-2208,BR,399,300,168,160,65,0,240
2025-01-17,WH-03,Warehouse WH-03,A2-03,CL-7781,CL,185,138,161,249,80,0,225
2024-08-22,WH-03,Warehouse WH-03,A3-01,ZX-9910,ZX,143,109,190,181,81,1,113
2024-04-22,WH-03,Warehouse WH-03,A5-02,MN-5544,MN,333,310,154,144,28,0,113
2025-07-14,WH-01,Warehouse WH-01,A5-01,BR-2208,BR,35,26,192,155,83,1,241
2025-06-04,WH-03,Warehouse WH-03,A1-01,AX-4312,AX,133,42,86,221,12,0,191
2024-08-04,WH-03,Warehouse WH-03,A2-02,MN-5544,MN,536,456,132,152,87,0,6
2025-08-28,WH-02,Warehouse WH-02,A2-04,ZX-9910,ZX,193,185,146,263,89,1,349
2024-07-03,WH-03,Warehouse WH-03,A1-01,AX-4312,AX,182,143,105,157,35,0,142
2025-01-24,WH-02,Warehouse WH-02,A4-05,BR-2208,BR,102,32,151,161,51,0,66
2025-02-24,WH-02,Warehouse WH-02,A3-04,AX-4312,AX,192,151,117,260,44,1,352
2024-06-30,WH-01,Warehouse WH-01,A3-04,ZX-9910,ZX,325,288,176,227,23,1,57
2024-08-02,WH-03,Warehouse WH-03,A3-01,AX-4312,AX,334,312,199,155,57,0,254
2024-10-03,WH-03,Warehouse WH-03,A4-02,AX-4312,AX,384,313,82,133,81,1,326
2025-11-26,WH-02,Warehouse WH-02,A5-02,ZX-9910,ZX,237,187,184,223,29,0,232
2025-09-03,WH-03,Warehouse WH-03,A1-04,AX-4312,AX,303,210,158,236,79,1,185
2024-05-05,WH-02,Warehouse WH-02,A2-04,MN-5544,MN,480,471,98,186,36,1,75
2025-06-24,WH-01,Warehouse WH-01,A5-02,BR-2208,BR,232,200,107,240,80,0,203
2024-08-23,WH-01,Warehouse WH-01,A3-05,AX-4312,AX,378,330,170,244,76,1,360
2024-11-21,WH-03,Warehouse WH-03,A5-01,CL-7781,CL,175,155,112,276,53,1,202
2024-11-21,WH-01,Warehouse WH-01,A3-01,BR-2208,BR,174,162,106,193,45,0,155
2024-09-05,WH-01,Warehouse WH-01,A1-03,BR-2208,BR,182,116,112,121,75,1,330
2024-06-21,WH-03,Warehouse WH-03,A4-02,BR-2208,BR,230,198,137,254,15,1,128
2026-01-12,WH-03,Warehouse WH-03,A1-02,AX-4312,AX,26,20,80,140,79,1,94
2025-01-13,WH-01,Warehouse WH-01,A4-02,CL-7781,CL,7,0,162,122,55,0,36
2025-03-05,WH-03,Warehouse WH-03,A2-03,ZX-9910,ZX,5,0,129,231,18,1,211
2025-01-16,WH-02,Warehouse WH-02,A1-04,BR-2208,BR,496,447,109,158,12,1,59
2025-08-20,WH-02,Warehouse WH-02,A4-01,CL-7781,CL,75,32,167,251,36,1,304
2024-11-23,WH-01,Warehouse WH-01,A2-01,MN-5544,MN,592,544,146,196,9,0,361
2024-09-03,WH-02,Warehouse WH-02,A5-05,CL-7781,CL,583,503,95,263,28,0,80
2024-04-02,WH-01,Warehouse WH-01,A2-02,AX-4312,AX,56,5,125,285,84,0,48
2025-03-17,WH-01,Warehouse WH-01,A5-05,AX-4312,AX,373,315,172,186,74,1,194
2025-10-02,WH-03,Warehouse WH-03,A1-04,AX-4312,AX,154,123,135,129,40,0,186
2024-06-26,WH-02,Warehouse WH-02,A1-04,ZX-9910,ZX,422,405,152,191,89,0,42
2025-03-19,WH-03,Warehouse WH-03,A4-02,ZX-9910,ZX,515,496,107,287,65,1,247
2024-05-09,WH-03,Warehouse WH-03,A4-02,AX-4312,AX,22,0,126,132,16,1,183
2025-04-27,WH-02,Warehouse WH-02,A3-01,MN-5544,MN,192,112,95,238,37,1,117
2024-07-22,WH-03,Warehouse WH-03,A1-01,BR-2208,BR,265,228,123,214,74,1,226
2025-03-03,WH-01,Warehouse WH-01,A2-01,AX-4312,AX,307,238,171,178,13,0,12
2025-02-23,WH-02,Warehouse WH-02,A1-04,CL-7781,CL,561,505,129,238,57,1,264
2024-11-23,WH-02,Warehouse WH-02,A1-01,BR-2208,BR,105,43,88,239,63,1,243
2024-09-30,WH-01,Warehouse WH-01,A4-02,MN-5544,MN,130,58,92,256,89,1,62
2026-02-01,WH-02,Warehouse WH-02,A4-02,AX-4312,AX,118,111,190,214,45,0,237
2024-12-10,WH-01,Warehouse WH-01,A3-04,CL-7781,CL,494,438,133,266,67,1,94
2025-09-29,WH-01,Warehouse WH-01,A2-02,MN-5544,MN,368,276,183,265,12,0,23
2025-12-31,WH-02,Warehouse WH-02,A1-02,BR-2208,BR,573,563,152,237,56,1,89
2026-01-20,WH-02,Warehouse WH-02,A1-04,BR-2208,BR,54,30,190,128,12,0,113
2025-09-17,WH-02,Warehouse WH-02,A2-02,BR-2208,BR,165,138,87,294,36,0,50
2025-07-02,WH-03,Warehouse WH-03,A2-04,CL-7781,CL,106,98,184,186,53,1,110
2024-08-30,WH-02,Warehouse WH-02,A2-03,CL-7781,CL,144,45,132,275,63,0,275
2024-05-15,WH-02,Warehouse WH-02,A2-04,CL-7781,CL,123,38,149,166,71,1,201
2024-08-04,WH-02,Warehouse WH-02,A4-02,BR-2208,BR,275,239,154,249,64,1,292
2024-09-11,WH-03,Warehouse WH-03,A2-04,ZX-9910,ZX,388,325,86,239,22,1,46
2025-10-03,WH-03,Warehouse WH-03,A3-05,MN-5544,MN,167,107,189,165,84,1,87
2024-12-19,WH-03,Warehouse WH-03,A5-01,AX-4312,AX,384,356,88,128,22,1,191
2024-04-26,WH-03,Warehouse WH-03,A4-04,BR-2208,BR,449,370,183,189,55,0,202
2025-03-08,WH-03,Warehouse WH-03,A5-02,AX-4312,AX,64,5,91,162,17,1,285
2024-05-24,WH-01,Warehouse WH-01,A1-01,ZX-9910,ZX,182,176,123,252,60,1,263
2024-10-24,WH-01,Warehouse WH-01,A1-04,AX-4312,AX,173,117,133,165,10,1,195
2026-02-09,WH-03,Warehouse WH-03,A1-02,CL-7781,CL,408,322,170,180,38,1,151
2024-07-29,WH-03,Warehouse WH-03,A3-01,CL-7781,CL,110,74,82,132,34,1,332
2025-01-03,WH-02,Warehouse WH-02,A1-02,BR-2208,BR,263,181,88,275,78,1,219
2024-05-04,WH-01,Warehouse WH-01,A5-02,BR-2208,BR,453,421,180,208,77,1,215
2025-08-20,WH-03,Warehouse WH-03,A5-02,BR-2208,BR,419,323,164,217,56,1,145
2024-06-12,WH-02,Warehouse WH-02,A5-02,CL-7781,CL,9,0,123,249,14,0,169
2025-05-05,WH-01,Warehouse WH-01,A2-02,ZX-9910,ZX,530,451,186,208,1,1,27
2024-11-11,WH-01,Warehouse WH-01,A4-02,CL-7781,CL,513,420,130,257,19,1,141
2024-10-12,WH-02,Warehouse WH-02,A4-05,ZX-9910,ZX,255,200,151,297,45,0,57
2025-02-11,WH-03,Warehouse WH-03,A5-01,AX-4312,AX,497,457,172,189,82,0,347
2025-08-18,WH-01,Warehouse WH-01,A4-01,ZX-9910,ZX,516,446,153,298,57,1,92
2024-03-23,WH-03,Warehouse WH-03,A2-03,BR-2208,BR,500,402,116,231,20,0,203
2024-09-24,WH-03,Warehouse WH-03,A3-03,MN-5544,MN,377,359,171,221,56,0,316
2025-05-06,WH-01,Warehouse WH-01,A2-01,AX-4312,AX,184,131,116,156,14,0,220
2024-10-31,WH-02,Warehouse WH-02,A1-03,CL-7781,CL,507,408,123,221,83,1,1
2025-12-23,WH-01,Warehouse WH-01,A1-05,ZX-9910,ZX,22,0,107,251,41,1,18
2026-01-05,WH-01,Warehouse WH-01,A3-02,BR-2208,BR,444,396,126,234,39,0,210
2025-05-26,WH-02,Warehouse WH-02,A3-02,AX-4312,AX,210,158,155,144,65,0,264
2025-03-02,WH-02,Warehouse WH-02,A3-05,AX-4312,AX,110,68,161,242,73,0,247
2025-11-05,WH-01,Warehouse WH-01,A4-01,BR-2208,BR,515,423,80,213,56,0,193
2024-10-16,WH-03,Warehouse WH-03,A4-05,ZX-9910,ZX,514,493,151,175,18,0,176
2025-03-19,WH-02,Warehouse WH-02,A2-03,CL-7781,CL,83,53,109,199,66,0,10
2024-05-14,WH-03,Warehouse WH-03,A4-02,ZX-9910,ZX,198,140,185,170,9,1,337
2024-05-25,WH-03,Warehouse WH-03,A4-05,BR-2208,BR,392,384,180,271,39,0,153
2024-11-12,WH-02,Warehouse WH-02,A4-05,AX-4312,AX,109,44,89,236,24,1,83
2025-05-11,WH-03,Warehouse WH-03,A1-03,ZX-9910,ZX,414,404,85,189,32,0,176
2025-05-19,WH-03,Warehouse WH-03,A5-01,CL-7781,CL,524,466,146,160,56,0,337
2025-06-08,WH-02,Warehouse WH-02,A3-03,ZX-9910,ZX,75,0,149,130,27,1,24
2025-09-03,WH-03,Warehouse WH-03,A3-01,BR-2208,BR,273,247,133,174,21,0,120
2024-12-01,WH-01,Warehouse WH-01,A1-05,CL-7781,CL,224,167,127,173,18,0,152
2024-08-18,WH-03,Warehouse WH-03,A5-03,MN-5544,MN,384,379,98,205,43,0,197
2024-09-09,WH-01,Warehouse WH-01,A4-02,MN-5544,MN,584,538,164,147,46,1,120
2024-07-31,WH-03,Warehouse WH-03,A1-05,ZX-9910,ZX,135,75,96,153,20,1,162
2024-09-10,WH-01,Warehouse WH-01,A2-05,BR-2208,BR,298,289,173,277,25,0,107
2025-05-20,WH-03,Warehouse WH-03,A1-01,BR-2208,BR,70,24,163,122,46,1,282
2026-01-24,WH-01,Warehouse WH-01,A4-02,CL-7781,CL,393,360,157,127,55,0,185
2024-07-19,WH-03,Warehouse WH-03,A5-03,MN-5544,MN,78,0,124,169,64,0,258
2024-09-10,WH-02,Warehouse WH-02,A2-02,CL-7781,CL,350,289,93,193,15,1,159
2026-02-16,WH-03,Warehouse WH-03,A5-02,AX-4312,AX,156,130,164,128,20,0,186
2025-08-24,WH-01,Warehouse WH-01,A5-04,MN-5544,MN,590,503,128,176,16,1,331
2024-11-28,WH-03,Warehouse WH-03,A4-05,BR-2208,BR,391,325,98,224,67,1,188
2025-07-28,WH-02,Warehouse WH-02,A5-01,AX-4312,AX,163,153,130,245,80,0,310
2025-11-09,WH-01,Warehouse WH-01,A3-02,ZX-9910,ZX,16,0,121,143,17,1,340
2025-12-17,WH-01,Warehouse WH-01,A5-04,BR-2208,BR,518,505,90,131,5,0,128
2025-04-24,WH-01,Warehouse WH-01,A1-05,ZX-9910,ZX,147,94,134,198,30,1,201
2024-03-04,WH-02,Warehouse WH-02,A1-05,ZX-9910,ZX,130,31,127,190,22,1,304
2025-12-29,WH-02,Warehouse WH-02,A1-03,ZX-9910,ZX,540,491,159,257,71,0,283
2024-08-27,WH-02,Warehouse WH-02,A2-05,BR-2208,BR,334,239,107,256,71,0,336
2025-10-09,WH-03,Warehouse WH-03,A2-01,BR-2208,BR,80,0,87,121,57,1,186
2025-03-03,WH-01,Warehouse WH-01,A3-01,MN-5544,MN,122,27,172,122,8,0,2
2024-08-19,WH-02,Warehouse WH-02,A3-03,ZX-9910,ZX,370,322,180,267,29,0,330
2025-12-19,WH-03,Warehouse WH-03,A5-02,BR-2208,BR,261,200,186,150,62,0,268
2026-01-01,WH-01,Warehouse WH-01,A4-03,MN-5544,MN,11,0,95,144,22,0,88
2025-11-13,WH-03,Warehouse WH-03,A5-05,CL-7781,CL,500,483,124,230,80,1,140
2025-08-07,WH-01,Warehouse WH-01,A1-05,ZX-9910,ZX,432,400,165,137,54,1,97
2025-11-29,WH-02,Warehouse WH-02,A2-02,ZX-9910,ZX,239,162,104,281,88,1,54
2024-03-10,WH-03,Warehouse WH-03,A1-01,MN-5544,MN,598,594,187,242,36,1,216
2025-08-24,WH-02,Warehouse WH-02,A5-04,MN-5544,MN,419,351,118,228,4,1,321
2025-12-13,WH-01,Warehouse WH-01,A1-03,BR-2208,BR,468,429,182,156,67,0,219
2025-04-29,WH-01,Warehouse WH-01,A2-03,CL-7781,CL,380,294,156,166,27,0,13
2025-08-30,WH-03,Warehouse WH-03,A4-03,BR-2208,BR,446,403,103,244,3,1,235
2024-10-31,WH-01,Warehouse WH-01,A4-03,ZX-9910,ZX,48,0,156,197,2,1,103
2025-01-16,WH-02,Warehouse WH-02,A2-01,BR-2208,BR,375,345,147,156,73,1,300
2025-02-20,WH-03,Warehouse WH-03,A1-01,MN-5544,MN,477,395,120,298,42,1,206
2026-01-24,WH-03,Warehouse WH-03,A2-03,ZX-9910,ZX,39,0,192,203,4,1,108
2024-03-09,WH-03,Warehouse WH-03,A1-01,CL-7781,CL,315,277,84,225,6,0,14
2024-06-18,WH-02,Warehouse WH-02,A1-02,MN-5544,MN,125,48,91,181,27,1,346
2024-07-12,WH-03,Warehouse WH-03,A3-04,AX-4312,AX,523,516,153,263,52,1,136
2024-09-15,WH-01,Warehouse WH-01,A1-01,ZX-9910,ZX,488,444,172,203,81,0,359
2025-03-18,WH-02,Warehouse WH-02,A3-05,CL-7781,CL,448,420,93,136,13,0,219
2024-06-03,WH-03,Warehouse WH-03,A2-01,BR-2208,BR,318,286,108,156,83,1,280
2024-03-17,WH-03,Warehouse WH-03,A2-02,ZX-9910,ZX,238,234,132,207,30,1,256
2025-01-21,WH-01,Warehouse WH-01,A5-03,AX-4312,AX,584,494,107,225,26,1,164
2025-08-23,WH-01,Warehouse WH-01,A3-02,MN-5544,MN,391,374,163,177,32,0,49
2024-05-14,WH-02,Warehouse WH-02,A5-04,MN-5544,MN,175,94,150,184,33,1,4
2025-09-15,WH-01,Warehouse WH-01,A5-01,AX-4312,AX,499,464,174,221,28,0,262
2025-01-20,WH-03,Warehouse WH-03,A2-03,BR-2208,BR,534,528,199,180,65,1,24
2024-08-23,WH-01,Warehouse WH-01,A5-01,MN-5544,MN,292,248,130,219,88,1,63
2024-03-10,WH-02,Warehouse WH-02,A4-05,BR-2208,BR,28,0,104,129,35,0,153
2025-08-14,WH-03,Warehouse WH-03,A3-03,MN-5544,MN,218,174,175,242,12,1,362
2024-12-23,WH-02,Warehouse WH-02,A4-04,BR-2208,BR,578,562,152,184,82,0,181
2024-10-21,WH-02,Warehouse WH-02,A2-04,CL-7781,CL,339,283,184,234,28,1,16
2025-06-09,WH-02,Warehouse WH-02,A2-02,AX-4312,AX,276,200,178,161,54,1,114
2024-12-19,WH-03,Warehouse WH-03,A1-02,AX-4312,AX,37,0,193,285,54,1,205
2025-07-14,WH-01,Warehouse WH-01,A4-02,ZX-9910,ZX,244,168,126,259,53,0,121
2024-09-27,WH-01,Warehouse WH-01,A4-04,AX-4312,AX,258,177,105,173,40,1,68
2025-07-05,WH-01,Warehouse WH-01,A4-03,MN-5544,MN,113,22,171,294,2,1,94
2025-11-12,WH-01,Warehouse WH-01,A5-04,CL-7781,CL,252,232,187,220,44,0,258
2025-11-18,WH-02,Warehouse WH-02,A4-05,AX-4312,AX,213,116,95,267,26,1,198
2024-04-09,WH-01,Warehouse WH-01,A2-05,BR-2208,BR,534,493,116,191,6,0,116
2025-01-14,WH-03,Warehouse WH-03,A2-03,BR-2208,BR,149,144,197,151,17,1,293
2024-08-08,WH-02,Warehouse WH-02,A2-03,CL-7781,CL,176,116,156,279,86,0,7
2026-02-19,WH-01,Warehouse WH-01,A3-01,ZX-9910,ZX,84,79,140,261,16,0,47
2024-03-21,WH-03,Warehouse WH-03,A4-02,BR-2208,BR,340,247,173,289,42,1,279
2025-12-01,WH-02,Warehouse WH-02,A1-01,MN-5544,MN,514,514,146,190,3,1,177
2025-05-12,WH-02,Warehouse WH-02,A4-03,AX-4312,AX,322,268,83,150,66,1,101
2024-05-15,WH-02,Warehouse WH-02,A4-05,AX-4312,AX,30,0,145,278,47,0,278
2024-04-07,WH-02,Warehouse WH-02,A2-03,CL-7781,CL,499,406,176,202,46,0,186
2025-04-01,WH-03,Warehouse WH-03,A5-05,CL-7781,CL,374,314,197,165,1,1,61
2024-11-30,WH-01,Warehouse WH-01,A4-05,BR-2208,BR,104,24,93,164,77,0,230
2025-09-15,WH-03,Warehouse WH-03,A5-02,CL-7781,CL,577,546,175,177,56,1,217
2025-06-09,WH-01,Warehouse WH-01,A1-02,AX-4312,AX,66,0,129,237,38,0,131
2024-12-27,WH-01,Warehouse WH-01,A1-05,ZX-9910,ZX,111,107,103,173,34,0,240
2024-12-17,WH-01,Warehouse WH-01,A4-05,CL-7781,CL,294,207,179,167,49,1,208
2024-07-31,WH-02,Warehouse WH-02,A4-01,ZX-9910,ZX,581,490,182,153,51,0,349
2025-08-27,WH-02,Warehouse WH-02,A4-04,BR-2208,BR,254,187,93,188,89,0,136
2024-06-01,WH-01,Warehouse WH-01,A4-01,AX-4312,AX,522,503,134,155,82,1,38
2025-05-09,WH-03,Warehouse WH-03,A5-01,CL-7781,CL,207,126,80,223,65,0,243
2025-11-09,WH-02,Warehouse WH-02,A2-01,ZX-9910,ZX,380,321,104,210,10,1,348
2024-05-26,WH-01,Warehouse WH-01,A5-02,AX-4312,AX,31,0,151,145,42,1,61
2024-05-20,WH-03,Warehouse WH-03,A3-04,MN-5544,MN,552,496,81,218,70,0,151
2025-03-25,WH-03,Warehouse WH-03,A3-05,MN-5544,MN,370,343,158,266,76,1,48
2024-04-26,WH-02,Warehouse WH-02,A4-01,MN-5544,MN,171,113,138,239,38,0,363
2025-03-18,WH-02,Warehouse WH-02,A2-01,ZX-9910,ZX,532,491,115,256,12,1,187
2025-04-20,WH-02,Warehouse WH-02,A4-02,AX-4312,AX,32,0,159,220,29,1,221
2025-04-24,WH-01,Warehouse WH-01,A4-04,ZX-9910,ZX,389,337,161,279,42,0,159
2025-12-18,WH-02,Warehouse WH-02,A4-05,CL-7781,CL,445,390,197,130,26,1,155
2025-10-18,WH-03,Warehouse WH-03,A2-02,MN-5544,MN,338,282,188,146,59,1,148
2025-02-12,WH-03,Warehouse WH-03,A1-01,MN-5544,MN,143,100,172,149,40,0,29
2024-07-03,WH-01,Warehouse WH-01,A1-01,CL-7781,CL,510,481,183,229,32,1,51
2024-08-31,WH-03,Warehouse WH-03,A5-04,AX-4312,AX,391,341,115,174,35,1,240
2024-07-04,WH-03,Warehouse WH-03,A5-04,CL-7781,CL,311,276,168,181,81,0,240
2025-04-14,WH-01,Warehouse WH-01,A4-01,MN-5544,MN,56,0,149,299,56,0,232
2025-06-30,WH-02,Warehouse WH-02,A1-04,BR-2208,BR,275,222,80,209,10,0,113
2025-03-28,WH-01,Warehouse WH-01,A1-01,CL-7781,CL,407,395,108,229,43,1,159
2025-05-28,WH-02,Warehouse WH-02,A5-04,AX-4312,AX,486,413,167,133,34,0,96
2025-10-04,WH-02,Warehouse WH-02,A2-04,MN-5544,MN,569,491,87,215,38,1,64
2024-09-10,WH-03,Warehouse WH-03,A1-04,BR-2208,BR,287,277,165,281,18,0,182
2025-04-22,WH-03,Warehouse WH-03,A4-03,BR-2208,BR,548,467,91,123,43,0,51
2025-10-17,WH-02,Warehouse WH-02,A2-05,MN-5544,MN,260,255,156,206,56,0,68
2024-05-01,WH-01,Warehouse WH-01,A4-02,ZX-9910,ZX,555,541,169,161,11,0,267
2024-09-26,WH-01,Warehouse WH-01,A4-01,AX-4312,AX,193,167,197,177,72,1,253
2024-05-08,WH-03,Warehouse WH-03,A1-04,ZX-9910,ZX,276,205,80,221,58,0,329
